1, 0, 1, 0, 0, 8, 1
1, 0, 0, 0, 0, 8, 1
1, 0, 0, 0, 0, 8, 1
1, 0, 0, 0, 0, 8, 1
1, 0, 0, 0, 0, 8, 1
1, 0, 0, 0, 0, 8, 1
1, 0, 0, 0, 0, 8, 1
1, 0, 0, 0, 0, 8, 1
1, 0, 1, 0, 0, 8, 1
1, 0, 1, 0, 0, 8, 1
1, 0, 1, 0, 0, 8, 1
1, 0, 1, 0, 0, 8, 1
1, 0, 1, 0, 0, 6, 1
1, 0, 1, 0, 0, 6, 1
1, 0, 1, 0, 0, 6, 1
1, 0, 1, 0, 0, 6, 1
1, 0, 1, 0, 0, 6, 1
1, 0, 0, 0, 0, 6, 1
1, 0, 0, 0, 0, 6, 1
1, 0, 0, 0, 0, 6, 1
1, 0, 0, 0, 0, 6, 1
1, 0, 0, 0, 0, 6, 1
1, 0, 0, 0, 0, 6, 1
1, 0, 0, 0, 0, 6, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 1, 5, 1
1, 0, 1, 0, 1, 5, 1
1, 0, 1, 0, 1, 5, 1
1, 0, 1, 0, 1, 5, 1
1, 0, 1, 0, 1, 5, 1
1, 0, 1, 0, 1, 5, 1
1, 0, 1, 0, 1, 5, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 0, 5, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 3, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 2, 1
1, 0, 1, 0, 1, 2, 1
1, 0, 1, 0, 1, 2, 1
1, 0, 1, 0, 1, 2, 1
1, 0, 1, 0, 1, 2, 1
1, 0, 1, 0, 1, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 2, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 1, 1, 1
1, 0, 1, 0, 1, 1, 1
1, 0, 1, 0, 1, 1, 1
1, 0, 1, 0, 1, 1, 1
1, 0, 1, 0, 1, 1, 1
1, 0, 1, 0, 1, 1, 1
